NAME	Hu28	Hu35	Hu40	Hu44	Hu51	Hu52	Hu53	Hu56	Hu63
AL645608.7	6.9859728	4.550314675	12.580892	12.03458819	8.205272108	55.08619355	76.68565304	12.88507572	45.90927826
HES4	224.7154584	204.7641604	191.858603	224.6456463	236.9272321	324.7618874	427.7115297	129.6560745	210.895747
ISG15	115.2685512	83.72579001	103.792359	404.3621633	101.5402423	182.5244025	116.648599	84.55830944	166.4211337
AL645608.3	0	0	0	0	0	0	0	0	0
AL645608.1	1.1643288	0	0	0	0	0	1.08007962	0	0
AGRN	3517.437305	3046.890706	3034.091788	3378.510059	3449.291263	4434.02749	3899.087429	4009.674502	4387.205404
AL645608.5	0	0	0	0	0	0	0	0	0
AL390719.1	1.1643288	0	5.242038334	4.813835277	3.076977041	9.044001927	28.08207013	2.415951698	4.303994837
AL645608.8	0	0	0	0	0	0	0	0	0
RNF223	30.2725488	26.39182511	41.93630667	30.48762342	31.79542942	50.15310159	54.00398102	16.10634466	61.69059266
C1orf159	122.254524	131.9591256	125.80892	151.6358112	116.9251275	129.9047549	151.2111468	121.6029021	137.7278348
AL390719.3	0	0	0	0	0	0	0	0	0
LINC01342	0	2.730188805	0	4.813835277	0	7.39963794	0	3.221268931	0
MIR200B	24.4509048	27.30188805	23.06496867	29.68531754	35.89806547	50.97528359	56.16414026	16.10634466	43.03994837
MIR200A	5.821644	6.370440544	4.193630667	14.44150583	16.41054422	19.73236784	16.2011943	12.88507572	17.21597935
MIR429	11.643288	33.67232859	8.387261334	12.03458819	6.153954081	43.57564565	44.28326443	12.07975849	43.03994837
AL390719.2	86.1603312	81.90566414	53.46879101	93.8697879	121.0277636	195.6793144	252.7386312	136.0986123	172.1597935
TTLL10-AS1	17.464932	15.47106989	13.62929967	15.24381171	22.5644983	19.73236784	19.44143317	19.32761359	45.90927826
TTLL10	2505.635578	1382.385598	1910.198769	1650.343194	2226.705718	2415.570696	1660.082376	1875.583835	2456.146387
TNFRSF18	38.4228504	14.56100696	31.45223	16.04611759	23.59015731	45.22000963	47.52350329	19.32761359	14.34664946
TNFRSF4	3.4929864	3.64025174	2.096815334	4.813835277	4.102636054	7.39963794	4.320318481	0	8.607989674
SDF4	1688.27676	1596.250388	1535.917232	1415.267571	1414.38378	1452.795582	1923.621804	1258.710835	1393.059662
B3GALT6	176.9779776	184.7427758	160.406373	178.1119053	224.619324	187.4574945	181.4533762	169.1166189	177.8984533
C1QTNF12	0	0.910062935	0	0	8.205272108	1.644363987	2.160159241	0	4.303994837
AL162741.1	4.6573152	4.550314675	0	2.406917639	1.025659014	1.644363987	2.160159241	2.415951698	0
UBE2J2	501.8257128	475.052852	521.0586104	464.5351042	503.5985756	495.775742	572.4421988	474.3318501	460.5274476
LINC01786	6.9859728	2.730188805	1.048407667	1.604611759	1.025659014	3.288727973	3.240238861	3.221268931	0
SCNN1D	3.4929864	19.11132163	11.53248433	20.05764699	19.48752126	22.19891382	12.96095544	23.35419975	12.91198451
ACAP3	512.304672	538.7572575	510.5745337	447.6866808	510.7781887	667.6117786	524.9186955	432.455354	525.0873701
MIR6726	0	0	0	0	0	0	0	0	0
PUSL1	224.7154584	182.9226499	192.9070107	190.1464934	247.1838223	220.3447742	221.4163222	215.0197011	175.0291234
INTS11	1125.90595	1088.43527	1090.343973	1163.343525	1120.019643	1047.45986	990.4330118	1096.036754	1182.163915
MIR6727	0	0	0	0	0	0	0	0	0
AL139287.1	2.3286576	4.550314675	4.193630667	3.209223518	6.153954081	9.044001927	1.08007962	5.637220629	0
CPTP	498.3327264	493.2541107	364.845868	421.2105867	441.0333758	411.9131787	401.7896188	374.4725132	530.8260299
TAS1R3	5.821644	11.83081815	2.096815334	19.25534111	15.3848852	8.221819933	8.640636963	5.637220629	10.04265462
DVL1	509.9760144	571.5195231	605.9796314	620.9847507	562.0611394	673.3670525	711.7724698	603.9879246	579.6046381
MIR6808	0	0	0	0	0	0	0	0	0
MXRA8	0	4.550314675	1.048407667	16.04611759	12.30790816	9.044001927	5.400398102	0	0
AURKAIP1	820.851804	919.1635643	918.4051161	844.0257852	815.3989158	757.2296159	947.229827	902.7606179	803.4123696
NDUFB4P8	0	0	0	0	0	0	0	0	0
CCNL2	938.4490128	1234.955403	725.4981054	1091.135996	920.0161351	1622.987255	1319.857296	1046.107085	1246.723838
AL391244.1	129.2404968	151.0704472	183.4713417	157.2519524	153.848852	162.7920347	116.648599	167.5059844	111.9038658
MRPL20	514.6333296	544.2176351	537.8331331	501.4411747	462.5722151	434.9342745	429.8716889	492.0488292	473.4394321
RN7SL657P	0	0	0	0	0	0	0	0	0
AL391244.3	12.8076168	26.39182511	14.67770734	20.05764699	6.153954081	14.79927588	16.2011943	31.40737208	35.86662364
ANKRD65	479.7034656	444.1107122	426.7019204	504.6503982	484.1110544	462.8884623	478.4752718	508.1551739	595.3859525
AL391244.2	19.7935896	37.31258033	20.96815334	27.2783999	32.82108843	28.77636977	17.28127393	39.46054441	37.30128859
TMEM88B	0	0	0	0	0	0	0	0	0
LINC01770	12.8076168	30.94213979	17.82293034	41.71990573	15.3848852	20.55454983	29.16214975	30.60205485	20.08530924
VWA1	411.0080664	534.2069428	500.0904571	591.2994332	503.5985756	410.2688147	1205.368856	402.6586164	499.2634011
ATAD3C	32.6012064	66.43459425	37.742676	42.52221161	23.59015731	25.48764179	9.720716583	53.15093736	28.69329891
ATAD3B	221.222472	212.9547268	165.6484114	273.5863049	215.3883928	418.4906346	307.8226918	225.4888252	291.236984
AL645728.2	1.1643288	0	0	1.604611759	0	0	2.160159241	0	0
ATAD3A	458.7455472	483.2434184	580.8178474	477.3719983	440.0077168	462.8884623	562.7214822	507.3498566	611.1672669
TMEM240	2.3286576	0	0	0.80230588	3.076977041	0.822181993	0	0	0
SSU72	1619.581361	1600.800703	1720.436981	1518.76503	1629.772173	1359.066835	1472.148523	1613.050417	1477.704894
AL645728.1	29.10822	30.03207685	24.11337634	33.69684694	36.92372449	23.02109581	27.00199051	18.52229635	40.17061848
AL691432.3	0	0	0	0	0	0	0	0	0
FNDC10	38.4228504	32.76226566	41.93630667	27.2783999	34.87240646	46.86437362	33.48246823	40.26586164	28.69329891
AL691432.2	173.4849912	191.1132163	133.1477737	142.8104466	184.6186224	125.793845	125.289236	189.2495497	109.0345359
MIB2	533.2625904	657.065439	451.8637044	612.1593861	593.8565688	709.5430603	569.2019599	556.4742078	624.0792514
MMP23B	0	0	0	0	4.102636054	0	0	2.415951698	0
CDK11B	443.6092728	477.7830408	480.1707114	442.8728455	498.4702806	480.1542841	517.3581381	499.2966843	484.9167516
FO704657.1	4.6573152	4.550314675	4.193630667	7.220752916	16.41054422	4.93309196	6.480477722	2.415951698	11.47731957
SLC35E2B	760.3067064	901.8723685	685.6586141	957.1509143	977.4530399	856.7136371	1019.595162	872.9638803	883.7536065
AL691432.1	0	0	2.096815334	0	1.025659014	0	0	0.805317233	2.869329891
MMP23A	0	0.910062935	0	0	0	2.46654598	0	0	2.869329891
CDK11A	4.6573152	13.65094402	11.53248433	4.011529398	16.41054422	27.95418777	30.24222937	10.46912403	14.34664946
AL031282.2	27.9438912	63.70440544	37.742676	41.71990573	109.7455144	105.2392951	63.7246976	59.59347523	97.55721631
AL031282.1	2.3286576	11.83081815	7.338853668	0	7.179613095	11.51054791	0	9.663806793	8.607989674
SLC35E2A	235.1944176	251.17737	247.4242094	158.0542583	338.4674745	226.9222302	305.6625326	308.4365002	367.2742261
NADK	989.67948	788.1145016	916.3083008	843.2234794	868.7331845	859.180183	1916.061246	686.9355996	958.3561837
GNB1	3125.058499	3298.978139	3164.094338	3449.112976	3334.417453	2758.420588	3198.115756	2914.443065	2857.852572
AL109917.1	2.3286576	4.550314675	4.193630667	12.03458819	8.205272108	0.822181993	3.240238861	4.831903397	1.434664946
CALML6	5.821644	6.370440544	6.290446001	15.24381171	10.25659014	12.3327299	0	4.831903397	1.434664946
TMEM52	50.0661384	47.32327262	27.25859934	62.5798586	58.46256377	67.41892345	46.44342367	25.77015145	78.90657201
CFAP74	2298.385051	2621.891316	2413.434449	3672.154011	3671.859268	3712.973882	2381.575563	3300.995337	3936.720611
AL391845.2	0	0	0	0	0	0	0	0	0
GABRD	2.3286576	6.370440544	0	0	0	2.46654598	6.480477722	4.026586164	0
AL391845.1	1.1643288	4.550314675	0	4.813835277	6.153954081	11.51054791	3.240238861	6.442537862	5.738659783
PRKCZ	707.9119104	657.9755019	600.7375931	733.3075739	731.2948767	588.6823072	671.8095238	645.8644207	776.1537356
AL590822.2	0	4.550314675	2.096815334	1.604611759	2.051318027	2.46654598	7.560557342	4.026586164	0
PRKCZ-AS1	16.3006032	9.100629349	3.145223	11.23228231	12.30790816	6.577455947	4.320318481	16.91166189	4.303994837
FAAP20	341.1483384	397.6975026	307.1834464	430.8382573	380.519494	380.6702629	263.5394274	500.9073188	378.7515457
AL590822.1	2.3286576	5.46037761	3.145223	0	0	1.644363987	2.160159241	5.637220629	4.303994837
SKI	1164.3288	1811.02524	1298.977099	1600.60023	1540.539838	1307.269369	965.5911806	1457.624191	1205.118554
MORN1	964.0642464	894.591865	755.9019278	1065.462208	1068.736692	1159.276611	725.8135049	924.5041832	1210.857214
AL589739.1	3.4929864	0.910062935	2.096815334	5.616141157	1.025659014	13.97709389	3.240238861	4.831903397	5.738659783
AL513477.1	138.5551272	94.64654523	114.2764357	106.706682	133.3356718	184.9909485	140.4103506	138.514564	243.8930408
AL513477.2	6.9859728	6.370440544	3.145223	4.011529398	3.076977041	12.3327299	1.08007962	15.30102742	14.34664946
RER1	958.2426024	894.591865	1020.10066	845.630397	866.6818664	855.0692731	1073.599143	805.3172328	952.6175239
PEX10	388.8858192	332.1729712	323.957969	361.8399517	402.0583333	284.4749697	271.0999847	341.4545067	338.5809272
PLCH2	632.2305384	1436.989374	661.5452377	912.221785	873.8614795	1320.424281	618.8856224	830.282067	886.6229364
AL139246.1	2.3286576	0	0	0	0	0	0	0	0
AL139246.4	0	0	0	0	0	0	0	0	0
PANK4	274.7815968	313.9717125	304.0382234	295.2485637	272.8252976	240.899324	322.9438065	290.719521	288.3676541
HES5	4.6573152	16.38113283	9.435669001	27.2783999	15.3848852	18.08800385	0	16.10634466	10.04265462
AL139246.5	24.4509048	28.21195098	18.871338	39.3129881	50.25729166	48.50873761	47.52350329	37.04459271	44.47461332
TNFRSF14-AS1	159.5130456	391.327062	126.8573277	349.8053635	183.5929634	321.4731594	279.7406217	405.8798853	410.3141745
TNFRSF14	862.7676408	920.9836901	663.6420531	1274.864043	870.7845025	1154.343519	1289.615067	865.7160252	1123.342652
AL139246.2	4.6573152	1.82012587	5.242038334	1.604611759	3.076977041	13.97709389	11.88087582	2.415951698	1.434664946
AL139246.3	9.3146304	18.2012587	14.67770734	17.65072935	9.230931122	8.221819933	21.60159241	13.69039296	25.82396902
PRXL2B	451.7595744	433.189957	375.3299447	478.9766101	444.1103529	341.2055272	379.1079467	384.13632	317.060953
MMEL1	40.751508	9.100629349	32.50063767	34.49915282	32.82108843	20.55454983	37.80278671	34.62864101	12.91198451
AL831784.1	0	0	0	0	0	0	0	0	0
TTC34	167.6633472	209.314475	87.01783634	308.0854577	287.1845238	175.9469466	136.0900322	228.7100941	256.8050253
AC242022.2	8.1503016	14.56100696	4.193630667	21.66225875	3.076977041	37.82037169	4.320318481	16.91166189	32.99729375
AC242022.1	57.0521112	66.43459425	44.03312201	64.98677624	49.23163265	166.9029446	49.68366254	54.76157183	126.2505152
AL592464.2	0	0	0	0	0	0	0	0	0
AL592464.1	0	0	0	0	0	0	0	0	0
AL589702.1	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0
LINC00982	8.1503016	12.74088109	12.580892	24.06917639	15.3848852	5.755273953	22.68167203	17.71697912	12.91198451
PRDM16	129.2404968	271.1987546	154.115927	186.134964	297.4411139	87.97347329	276.5003828	310.0471346	252.5010304
MIR4251	0	0	0	0	0	0	0	0.805317233	0
AL008733.1	0	0	0	0	0	0	0	0	0
AL512383.1	0	2.730188805	0	2.406917639	7.179613095	0.822181993	0	0.805317233	1.434664946
AL590438.1	0	0	0	0	0	0	0	6.442537862	0
ARHGEF16	443.6092728	489.613859	531.5426871	375.4791516	429.7511267	432.4677285	505.4772623	428.4287678	251.0663655
AL512413.1	2.3286576	0.910062935	0	3.209223518	2.051318027	0	3.240238861	0	0
MEGF6	268.9599528	514.1855582	246.3758017	427.6290338	478.9827593	470.2881002	58.3242995	380.9150511	195.1144326
MIR551A	0	0	0	0	0	0	0	0	0
AL513320.1	4.6573152	6.370440544	7.338853668	13.63919995	5.128295068	12.3327299	6.480477722	15.30102742	8.607989674
TPRG1L	948.927972	861.8295994	875.4204018	823.9681383	972.3247448	733.3863381	827.3409892	902.7606179	840.7136582
WRAP73	188.6212656	179.2823982	177.1808957	166.8796229	234.8759141	221.1669562	208.4553667	196.4974048	278.3249995
TP73	2370.573437	2254.22589	2027.620428	1991.323193	2509.787606	2318.553221	1326.337774	2259.720155	2368.631825
AL136528.1	0	3.64025174	0	0	1.025659014	0.822181993	0	0.805317233	7.173324728
AL136528.2	0	0	0	0	0	0	0	0.805317233	0
TP73-AS1	173.4849912	183.8327129	148.8738887	178.9142111	185.6442815	139.7709389	117.7286786	181.1963774	195.1144326
RF02197	0	0	0	0	1.025659014	0	0	0.805317233	0
CCDC27	0	0	0	0.80230588	0	3.288727973	1.08007962	0	1.434664946
SMIM1	3.4929864	22.75157337	7.338853668	17.65072935	21.53883928	12.3327299	7.560557342	24.15951698	12.91198451
LRRC47	664.8317448	637.9541174	588.1567011	595.3109626	527.188733	570.5943034	444.9928036	585.4656282	624.0792514
RN7SL574P	0	0	0	2.406917639	0	0	0	0	1.434664946
AL365330.1	0	1.82012587	0	2.406917639	0	0.822181993	2.160159241	3.221268931	0
CEP104	1419.316807	1234.04534	1425.834427	1251.597172	1292.330357	1174.898068	1163.245751	1319.109627	1506.398193
DFFB	43.0801656	62.79434251	61.85605234	48.94065865	46.15465561	46.04219163	32.40238861	59.59347523	54.51726794
C1orf174	263.1383088	263.0081882	231.6980944	241.4940697	247.1838223	241.721506	234.3772776	202.9399427	245.3277057
LINC01134	16.3006032	20.02138457	0	8.023058795	10.25659014	14.79927588	17.28127393	15.30102742	7.173324728
LINC01346	8.1503016	0	0	0	0	0	0	0	1.434664946
LINC01345	0	0	0	0	0	0	0	0	4.303994837
AL805961.1	0	0	0	0	0	0	0	0	0
AL805961.2	0	0	0	0	0	0	0	0	0
EEF1DP6	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	5.738659783
AL355602.1	0	0	0	0	0	0	0	0	0
Z98747.1	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0
AJAP1	19.7935896	64.61446838	19.91974567	20.05764699	20.51318027	6.577455947	8.640636963	32.21268931	2.869329891
BX005132.2	0	0	0	0	0	0	0	0	0
BX005132.1	0	0	0	0	0	0	1.08007962	0	0
AL691497.1	0	0	0	0	0	0	0	0	0
AL139823.1	0	0	0	0	0	0	0	0	0
Z98259.3	2.3286576	2.730188805	0	0.80230588	0	2.46654598	0	1.610634466	0
Z98259.2	0	0	0	0	0	0	0	0	0
Z98259.1	0	0.910062935	0	0	0	0	0	0	0
Z97988.1	0	0	0	0	0	0	0	0	0
AL365255.1	0	0	0	0	0	0	0	0	0
MIR4417	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	1.644363987	0	0	0
NPHP4	639.2165112	385.8666844	486.4611574	650.6700683	834.886437	562.3724834	501.1569438	661.9707653	787.6310552
KCNAB2	349.29864	261.1880623	340.7324917	557.6025863	317.9542942	587.8601252	426.63145	198.1080393	380.1862106
CHD5	1.1643288	0.910062935	0	0.80230588	2.051318027	0	4.320318481	0.805317233	5.738659783
AL031847.2	0	2.730188805	0	0	0	0	1.08007962	0	0
RPL22	242.1803904	295.7704538	223.310833	285.6208931	287.1845238	175.9469466	159.8517838	306.8258657	209.4610821
AL031847.1	8.1503016	7.280503479	10.48407667	13.63919995	5.128295068	4.93309196	6.480477722	12.88507572	10.04265462
RNF207	236.3587464	254.8176218	248.472617	233.4710109	348.7240646	438.2230025	373.7075486	368.0299754	319.9302829
ICMT	1358.77171	1106.636529	1415.35035	1074.287573	1403.101531	1163.387521	1369.540959	1155.630229	1192.20657
LINC00337	3.4929864	0	3.145223	4.011529398	0	2.46654598	3.240238861	0.805317233	5.738659783
HES3	0	0	0	0	0	0	0	0	0
GPR153	59.3807688	55.51383903	63.95286767	38.51068222	62.56519983	108.5280231	108.007962	52.34562013	74.60257717
ACOT7	214.2364992	206.5842862	299.8445927	166.0773171	202.0548257	199.7902244	182.5334558	172.3378878	172.1597935
AL031848.2	3.4929864	4.550314675	7.338853668	8.825364675	13.33356718	4.110909967	1.08007962	17.71697912	5.738659783
HES2	214.2364992	199.3037827	184.5197494	287.2255049	236.9272321	267.2091478	292.7015771	301.9939623	317.060953
ESPN	710.240568	785.3843128	730.7401438	927.4655967	1035.915604	1039.23804	824.1007503	933.3626728	1205.118554
MIR4252	0	0	0	0	0	0	0	0	0
AL031848.1	1.1643288	5.46037761	2.096815334	1.604611759	3.076977041	7.39963794	4.320318481	1.610634466	8.607989674
TNFRSF25	94.3106328	158.3509507	53.46879101	167.6819288	81.02706207	204.7233163	128.5294748	122.4082194	225.2423965
PLEKHG5	359.7775992	412.2585095	312.4254847	411.5829162	428.7254677	558.2615735	339.1450008	367.2246581	503.5673959
NOL9	417.9940392	420.4490759	384.7656137	365.8514811	347.6984056	347.7829832	327.264125	435.6766229	321.3649478
RNU6-731P	0	0	0	0	0	0	0	0	0
AL591866.1	0	0	0	0	0	0	0	0	0
TAS1R1	0	0	1.048407667	2.406917639	2.051318027	5.755273953	2.160159241	8.85848956	10.04265462
ZBTB48	424.980012	313.9717125	345.97453	376.2814575	421.5458546	468.6437362	399.6294595	381.7203683	381.6208755
KLHL21	917.4910944	990.1484732	794.6930114	838.4096441	818.4758928	1004.706396	1501.310672	910.008473	915.3162353
PHF13	154.8557304	228.4257967	130.0025507	122.7527996	154.874511	180.8800385	163.0920227	126.4348055	131.989175
THAP3	119.9258664	130.1389997	85.96942868	112.3228231	114.8738095	124.149481	104.7677232	169.9219361	97.55721631
DNAJC11	688.1183208	614.2924811	690.9006524	676.3438564	609.241454	589.5044892	723.6533456	665.1920343	625.5139163
LINC01672	0	0	0	0	0	0	0	0	0
AL591163.1	0	0	0	0	0	0	0	0	0
CAMTA1-DT	2.3286576	5.46037761	9.435669001	4.813835277	19.48752126	7.39963794	3.240238861	12.07975849	12.91198451
CAMTA1	168.827676	157.4408877	199.1974567	203.7856934	175.3876913	157.0367607	176.0529781	202.9399427	170.7251285
AL590128.1	0	0	0	0	0	0	0	0	1.434664946
AL512330.1	0	0	0	0	0	0	0	0	0
RNU1-8P	0	0	0	0	0	0	0	0	0
CAMTA1-IT1	0	0	1.048407667	0	0	1.644363987	0	0.805317233	0
Z97987.1	0	0	0	0	0	0	0	0	0
AL365194.1	0	0	0	0	0	0	0	0	0
AL359881.3	0	0.910062935	0	0.80230588	0	0	0	0	0
AL359881.2	0	0	0	3.209223518	2.051318027	0.822181993	0	0	0
AL359881.1	2.3286576	0.910062935	0	0	0	0	0	0	0
VAMP3	536.7555768	517.82581	591.3019241	541.5564687	538.4709821	524.5521118	506.5573419	483.1903397	451.9194579
Z98884.2	0	0.910062935	0	3.209223518	1.025659014	1.644363987	6.480477722	0	0
PER3	1185.286718	780.8339982	936.2280464	1138.472043	1483.102934	632.2579529	180.3732966	1328.773434	622.6445864
Z98884.1	5.821644	10.92075522	5.242038334	4.011529398	6.153954081	3.288727973	2.160159241	5.637220629	0
UTS2	0	0	1.048407667	0.80230588	1.025659014	0	0	0	0
TNFRSF9	18.6292608	0	0	14.44150583	3.076977041	9.86618392	9.720716583	0	2.869329891
AL009183.1	0	0	0	0	0	0	0	0	0
PARK7	1111.934004	1188.542193	1324.138883	1253.201784	1063.608397	1007.172942	1193.48798	1079.125092	1164.947936
RF00019	0	0	0	0	0	0	0	0	0
AL034417.4	23.286576	17.29119576	19.91974567	4.813835277	21.53883928	32.06509774	28.08207013	40.26586164	31.5626288
AL034417.3	3.4929864	0	0	0.80230588	0	3.288727973	0	0.805317233	2.869329891
ERRFI1	511.1403432	399.5176284	428.7987357	365.8514811	402.0583333	762.1627078	477.3951922	449.3670159	367.2742261
AL034417.2	2.3286576	3.64025174	4.193630667	1.604611759	5.128295068	4.93309196	7.560557342	0	0
AL034417.1	0	0	1.048407667	1.604611759	0	3.288727973	0	0	0
AL358876.1	0	0	0	0	0	0.822181993	0	0	0
LINC01714	0	0	0	0	0	0	4.320318481	0	0
RNU1-7P	0	0	0	0	0	0	0	0	0
AL358876.2	0	0	0	0	0	0	0	0	0
RNU6-991P	0	0	0	0	0	0	0	0	0
SLC45A1	13.9719456	11.83081815	5.242038334	20.85995287	6.153954081	9.044001927	7.560557342	23.35419975	8.607989674
RF00019.1	0	0	0	0	0	0	0	0	0
RERE	3849.271013	4291.856801	3612.81282	4312.394102	4425.718643	3574.025125	3852.644006	4539.573241	4438.853342
AL096855.1	0	3.64025174	0	7.220752916	1.025659014	0.822181993	4.320318481	1.610634466	4.303994837
RF00599	3.4929864	0.910062935	0	2.406917639	0	0	0	6.442537862	4.303994837
AL096855.2	0	0	0	0	0	0	0	0	0
RPL7P11	0	0	0	0	0	0	0	0	0
RPL7P7	1.1643288	4.550314675	0	3.209223518	4.102636054	7.39963794	4.320318481	8.85848956	8.607989674
RF00019.2	0	0.910062935	1.048407667	0.80230588	1.025659014	0	2.160159241	0	0
AL357552.1	0	0	0	0	0	0	0	0	0
AL357552.2	3.4929864	3.64025174	5.242038334	13.63919995	3.076977041	4.93309196	2.160159241	19.32761359	1.434664946
RPL23AP19	0	0	0	0	0	0	0	0	0
ENO1	3250.80601	3576.547334	4184.194998	3329.5694	3133.388286	3573.202943	4217.710917	3440.315218	3177.782855
MIR6728	0	0	0	0	0	0	0	0	0
ENO1-AS1	5.821644	4.550314675	7.338853668	3.209223518	1.025659014	1.644363987	2.160159241	6.442537862	5.738659783
RNU6-304P	0	0	0	0	0	0	0	0	0
HMGN2P17	0	0	0	0	0	0	0	0	0
AL139415.1	0	0	0	0	0	1.644363987	0	0	0
AL139415.2	0	0	0	0	0	0	0	0	0
